volunteer_id,country,city,about_me,skills,help_directions,experience_level,preferred_tasks,task_format,availability,communication_languages,city_clean,format_clean,skills_clean,directions_clean,age,availability_hours_week,profile_completeness,volunteer_reliability_score,volunteer_cancel_rate,active_tasks_count,created_at,city_raw,format_raw,skills_raw,directions_raw,experience_raw
vol_00252,Россия,Санкт-Петербург,"Интересуется волонтёрскими задачами в городе Санкт-Петербург и онлайн-проектами, если формат это позволяет. Ближе всего темы: Социальная помощь, Экология.","SMM, Наставничество, Дизайн, Координация волонтёров","Социальная помощь, Экология, Правозащита, Спорт и ЗОЖ",Начинающий,"Социальная помощь, Экология, Правозащита",Онлайн,5–8 часов в неделю,"Русский, Английский",Санкт-Петербург,Онлайн,"SMM, Наставничество, Дизайн, Координация волонтёров",Социальная помощь|Экология|Правозащита|Спорт и ЗОЖ,25,6,1.0,0.248,0.023,0,2025-05-18,  САНКТ-ПЕТЕРБУРГ  ,Онлайн,"SMM, Наставничество, Дизайн, Координация волонтёров","соц помощь, экологические проекты, правозащита, спорт",Начинающий
vol_00253,Россия,Красноярск,"Готов(а) помогать НКО в формате «Онлайн». В работе важны понятные ожидания, регулярная связь с координатором и возможность увидеть результат помощи.","Программирование, Копирайтинг, Аналитика, чат-боты",Здравоохранение,Эксперт,Здравоохранение,Онлайн,9–12 часов в неделю,"Русский, Английский",Красноярск,Онлайн,"Программирование, Копирайтинг, Аналитика, чат-боты",Здравоохранение,39,9,0.568,0.837,0.035,1,2026-05-11,Красноярск,Онлайн,"Программирование, Копирайтинг, Аналитика, чат-боты",здоровье,Эксперт
vol_00254,Россия,Санкт-Петербург,"Выбирает задачи, где пригодятся фото- и видеоматериалами, анализом данных и структурированием информации. Интересны проекты по направлениям: Социальная помощь, Образование.","Фото и видео, Аналитика","Социальная помощь, Образование",Опытный,"Социальная помощь, Образование",Смешанный,До 4 часов в неделю,Русский,Санкт-Петербург,Смешанный,"Фото и видео, Аналитика",Социальная помощь|Образование,24,1,0.955,0.63,0.072,1,2025-10-19,САНКТ-ПЕТЕРБУРГ,Смешанный,"Фото и видео, Аналитика",  соц помощь / обучение  ,Опытный
vol_00255,Россия,Нижний Новгород,"Сильнее всего мотивируют задачи с конкретным полезным результатом. Может помогать в направлениях: Помощь пожилым, Животные; навыки — бумаги, Педагогика, Переводы.","бумаги, Педагогика, Переводы","Помощь пожилым, Животные, Здравоохранение, Люди без жилья",Эксперт,"Помощь пожилым, Животные, Здравоохранение",Смешанный,9–12 часов в неделю,"Русский, Английский",Нижний Новгород,Смешанный,"бумаги, Педагогика, Переводы",Помощь пожилым|Животные|Здравоохранение|Люди без жилья,32,12,0.883,0.862,0.218,0,2025-09-04,НИЖНИЙ НОВГОРОД,Смешанный,"бумаги, Педагогика, Переводы",пожилые | помощь животным | медицина | ночлежка,Эксперт
vol_00256,Россия,Москва,"Готов(а) подключаться к сложным задачам, где важны опыт, ответственность и качество результата. Больше всего интересны проектах помощи в кризисных ситуациях. Сильные стороны — помощь новичкам.",помощь новичкам,Кризисные ситуации,Эксперт,Кризисные ситуации,Онлайн,9–12 часов в неделю,Русский,Москва,Онлайн,помощь новичкам,Кризисные ситуации,34,12,0.73,0.82,0.038,2,2026-04-10, Москва ,Онлайн,помощь новичкам,  экстренная помощь  ,Эксперт
vol_00257,Россия,Ростов-на-Дону,"Интересуется направлениями: Дети и молодёжь. В задачах полезны навыки, связанные с психологической поддержкой и бережной коммуникацией, цифровыми инструментами. Предпочтительный формат участия — оффлайн.","Психология, coordination, IT",Дети и молодёжь,Начинающий,Дети и молодёжь,Оффлайн,5–8 часов в неделю,"Русский, Английский",Ростов-на-Дону,Оффлайн,"Психология, coordination, IT",Дети и молодёжь,23,6,0.715,0.926,0.098,2,2025-09-05, РОСТОВ-НА-ДОНУ ,Оффлайн,"Психология, coordination, IT",молодежь,НАЧИНАЮЩИЙ
vol_00258,Россия,Екатеринбург,"Хочет помогать в проектах, где нужен практический результат для людей или команды. Ближе всего направления: Миграция, Помощь пожилым; основные навыки — Копирайтинг, Фандрайзинг, IT.","Копирайтинг, Фандрайзинг, IT, Координация волонтёров","Миграция, Помощь пожилым",Начинающий,"Миграция, Помощь пожилым",Онлайн,До 4 часов в неделю,"Русский, Английский",Екатеринбург,Онлайн,"Копирайтинг, Фандрайзинг, IT, Координация волонтёров",Миграция|Помощь пожилым,33,1,0.895,0.558,0.034,0,2025-05-13,ЕКАТЕРИНБУРГ,Онлайн,"Копирайтинг, Фандрайзинг, IT, Координация волонтёров",адаптация | помощь пожилым,Начинающий
vol_00259,Россия,Омск,"Ориентируется на задачи, где можно применить переводами и адаптацией текстов, юридическими и консультационными задачами, детскими и образовательными активностями. Комфортно взаимодействует с координатором и передаёт результат в понятном виде.","Переводы, Юридические услуги, Работа с детьми, IT, PR, Дизайн",Образование,Опытный,Образование,Онлайн,9–12 часов в неделю,"Русский, Английский, Немецкий",Омск,Онлайн,"Переводы, Юридические услуги, Работа с детьми, IT, PR, Дизайн",Образование,23,11,0.859,0.71,0.05,1,2025-06-13,Омск,Онлайн,"Переводы, Юридические услуги, Работа с детьми, IT, PR, Дизайн",образование,Опытный
vol_00260,Россия,Москва,"Интересуется волонтёрскими задачами в городе Москва и онлайн-проектами, если формат это позволяет. Ближе всего темы: Культура и искусство, Животные.","Копирайтинг, Координация волонтёров, аниматор, Работа с документами, Исследования","Культура и искусство, Животные, Люди без жилья",Начинающий,"Культура и искусство, Животные, Люди без жилья",Онлайн,До 4 часов в неделю,"Русский, Английский",Москва,Онлайн,"Копирайтинг, Координация волонтёров, аниматор, Работа с документами, Исследования",Культура и искусство|Животные|Люди без жилья,32,1,0.756,0.732,0.045,0,2026-03-31,Москва,Онлайн,"Копирайтинг, Координация волонтёров, аниматор, Работа с документами, Исследования",музеи; животные; люди без жилья,Начинающий
vol_00261,Россия,Москва,"Готов(а) помогать НКО в формате «Онлайн». В работе важны понятные ожидания, регулярная связь с координатором и возможность увидеть результат помощи.","Медицина, Педагогика, Координация волонтёров, помощь новичкам, Юридические услуги","Инклюзия, Образование, Здравоохранение, Люди без жилья, Сельские территории",Эксперт,"Инклюзия, Образование, Здравоохранение",Онлайн,До 4 часов в неделю,Русский,Москва,Онлайн,"Медицина, Педагогика, Координация волонтёров, помощь новичкам, Юридические услуги",Инклюзия|Образование|Здравоохранение|Люди без жилья|Сельские территории,18,3,0.84,0.918,0.049,1,2025-09-09,МОСКВА,Онлайн,"Медицина, Педагогика, Координация волонтёров, помощь новичкам, Юридические услуги",  доступная среда / образование / здравоохранение / ночлежка / малые города  ,Эксперт
vol_00262,Россия,Новосибирск,"Выбирает задачи, где пригодятся анализом данных и структурированием информации, переводами и адаптацией текстов, исследованиями и сбором информации. Интересны проекты по направлениям: Культура и искусство, Социальная помощь.","Аналитика, Переводы, Исследования, PR, Коммуникация, Юридические услуги, Наставничество, Координация волонтёров, tableau","Культура и искусство, Социальная помощь",Начинающий,"Культура и искусство, Социальная помощь",Онлайн,5–8 часов в неделю,"Русский, Английский",Новосибирск,Онлайн,"Аналитика, Переводы, Исследования, PR, Коммуникация, Юридические услуги, Наставничество, Координация волонтёров, tableau",Культура и искусство|Социальная помощь,18,8,0.838,0.834,0.033,1,2026-02-08,Новосибирск,Онлайн,"Аналитика, Переводы, Исследования, PR, Коммуникация, Юридические услуги, Наставничество, Координация волонтёров, tableau",искусство | соц помощь,НАЧИНАЮЩИЙ
vol_00263,Россия,Воронеж,"Сильнее всего мотивируют задачи с конкретным полезным результатом. Может помогать в направлениях: Люди без жилья, Помощь пожилым; навыки — Организация мероприятий, Исследования, coordination, Медицина.","Организация мероприятий, Исследования, coordination, Медицина","Люди без жилья, Помощь пожилым, Спорт и ЗОЖ",Эксперт,"Люди без жилья, Помощь пожилым, Спорт и ЗОЖ",Онлайн,5–8 часов в неделю,"Русский, Английский",Воронеж,Онлайн,"Организация мероприятий, Исследования, coordination, Медицина",Люди без жилья|Помощь пожилым|Спорт и ЗОЖ,20,6,0.795,0.625,0.02,3,2025-11-18, Воронеж ,Онлайн,"Организация мероприятий, Исследования, coordination, Медицина","бездомные,  помощь пожилым,  здоровый образ жизни",Эксперт
vol_00264,Россия,Москва,"Может брать задачи с большей самостоятельностью и помогать команде на уровне экспертизы. Больше всего интересны проектах помощи людям в трудной жизненной ситуации. Сильные стороны — обучением и образовательными форматами, prompt engineering, фандрайзингом и партнёрскими коммуникациями.","Педагогика, prompt engineering, Фандрайзинг, Копирайтинг",Люди без жилья,Эксперт,Люди без жилья,Оффлайн,До 4 часов в неделю,"Русский, Английский",Москва,Оффлайн,"Педагогика, prompt engineering, Фандрайзинг, Копирайтинг",Люди без жилья,18,2,0.697,0.88,0.037,1,2025-06-20,МОСКВА,Оффлайн,"Педагогика, prompt engineering, Фандрайзинг, Копирайтинг",люди без жилья,Эксперт
vol_00265,Россия,Санкт-Петербург,"Интересуется направлениями: Правозащита, Люди без жилья. В задачах полезны навыки, связанные с визуальными материалами, юридическими и консультационными задачами. Предпочтительный формат участия — онлайн.","Дизайн, Юридические услуги","Правозащита, Люди без жилья, Здравоохранение, Миграция",Начинающий,"Правозащита, Люди без жилья, Здравоохранение",Онлайн,5–8 часов в неделю,"Русский, Английский",Санкт-Петербург,Онлайн,"Дизайн, Юридические услуги",Правозащита|Люди без жилья|Здравоохранение|Миграция,36,8,0.806,0.683,0.067,1,2026-01-20,Санкт-Петербург,Онлайн,"Дизайн, Юридические услуги",  права человека / бездомные / здоровье / мигранты  ,Начинающий
vol_00266,Россия,Москва,"Хочет помогать в проектах, где нужен практический результат для людей или команды. Ближе всего направления: Инклюзия; основные навыки — Медицина, архив, Педагогика.","Медицина, архив, Педагогика, Фото и видео, SMM, Аналитика",Инклюзия,Начинающий,Инклюзия,Онлайн,9–12 часов в неделю,"Русский, Английский",Москва,Онлайн,"Медицина, архив, Педагогика, Фото и видео, SMM, Аналитика",Инклюзия,36,11,0.769,0.501,0.083,1,2025-09-27,МОСКВА,Онлайн,"Медицина, архив, Педагогика, Фото и видео, SMM, Аналитика",доступная среда,Начинающий
vol_00267,Россия,Москва,"Ориентируется на задачи, где можно применить текстами и описаниями, медицинскими и профилактическими инициативами, детскими и образовательными активностями. Комфортно взаимодействует с координатором и передаёт результат в понятном виде.","Копирайтинг, Медицина, Работа с детьми, Организация мероприятий, Координация волонтёров","Образование, Правозащита, Помощь пожилым, Здравоохранение",Эксперт,"Образование, Правозащита, Помощь пожилым",Оффлайн,5–8 часов в неделю,"Русский, Английский",Москва,Оффлайн,"Копирайтинг, Медицина, Работа с детьми, Организация мероприятий, Координация волонтёров",Образование|Правозащита|Помощь пожилым|Здравоохранение,18,6,0.997,0.659,0.018,0,2025-11-11, Москва ,Оффлайн,"Копирайтинг, Медицина, Работа с детьми, Организация мероприятий, Координация волонтёров",  образование; юридическая помощь; помощь пожилым; медицина  ,Эксперт
vol_00268,Россия,Красноярск,"Интересуется волонтёрскими задачами в городе Красноярск и онлайн-проектами, если формат это позволяет. Ближе всего темы: Инклюзия, Здравоохранение.","Фандрайзинг, SMM","Инклюзия, Здравоохранение",Начинающий,"Инклюзия, Здравоохранение",Оффлайн,5–8 часов в неделю,"Русский, Английский",Красноярск,Оффлайн,"Фандрайзинг, SMM",Инклюзия|Здравоохранение,25,7,0.872,0.755,0.063,3,2026-04-22, КРАСНОЯРСК ,Оффлайн,"Фандрайзинг, SMM",доступная среда | медицина,НАЧИНАЮЩИЙ
vol_00269,Россия,Ростов-на-Дону,"Готов(а) помогать НКО в формате «Оффлайн». В работе важны понятные ожидания, регулярная связь с координатором и возможность увидеть результат помощи.","Исследования, Аналитика, архив",Сельские территории,Начинающий,Сельские территории,Оффлайн,До 4 часов в неделю,"Русский, Английский",Ростов-на-Дону,Оффлайн,"Исследования, Аналитика, архив",Сельские территории,41,4,0.611,0.849,0.004,2,2025-07-05,РОСТОВ-НА-ДОНУ,Оффлайн,"Исследования, Аналитика, архив",малые города,Начинающий
vol_00270,Россия,Нижний Новгород,"Выбирает задачи, где пригодятся текстами и описаниями, фото- и видеоматериалами, обучением и образовательными форматами. Интересны проекты по направлениям: Спорт и ЗОЖ, Правозащита.","Копирайтинг, Фото и видео, Педагогика, PR","Спорт и ЗОЖ, Правозащита",Опытный,"Спорт и ЗОЖ, Правозащита",Оффлайн,5–8 часов в неделю,"Русский, Английский",Нижний Новгород,Оффлайн,"Копирайтинг, Фото и видео, Педагогика, PR",Спорт и ЗОЖ|Правозащита,33,6,0.774,0.753,0.107,2,2025-09-07, Нижний Новгород ,Оффлайн,"Копирайтинг, Фото и видео, Педагогика, PR",  спорт | правозащита  ,ОПЫТНЫЙ
vol_00271,Россия,Красноярск,"Сильнее всего мотивируют задачи с конкретным полезным результатом. Может помогать в направлениях: Дети и молодёжь, Экология; навыки — Координация волонтёров, привлечение средств, Переводы, Работа с документами.","Координация волонтёров, привлечение средств, Переводы, Работа с документами, Фото и видео","Дети и молодёжь, Экология, Миграция, Люди без жилья, Животные",Начинающий,"Дети и молодёжь, Экология, Миграция",Онлайн,До 4 часов в неделю,"Русский, Английский",Красноярск,Онлайн,"Координация волонтёров, привлечение средств, Переводы, Работа с документами, Фото и видео",Дети и молодёжь|Экология|Миграция|Люди без жилья|Животные,21,1,0.595,0.748,0.232,1,2026-03-01,Красноярск,Онлайн,"Координация волонтёров, привлечение средств, Переводы, Работа с документами, Фото и видео",дети и молодёжь; экологические проекты; миграция; люди без жилья; помощь животным,Начинающий
vol_00272,Россия,Ростов-на-Дону,"Готовится включаться в волонтёрские задачи и аккуратно соблюдать договорённости. Больше всего интересны инициативах поддержки пожилых людей. Сильные стороны — визуальными материалами, координацией волонтёрских команд, фото- и видеоматериалами.","Дизайн, Координация волонтёров, Фото и видео, Исследования, коммуникации, Педагогика","Помощь пожилым, Правозащита, Животные",Начинающий,"Помощь пожилым, Правозащита, Животные",Онлайн,5–8 часов в неделю,"Русский, Английский",Ростов-на-Дону,Онлайн,"Дизайн, Координация волонтёров, Фото и видео, Исследования, коммуникации, Педагогика",Помощь пожилым|Правозащита|Животные,18,6,0.399,0.405,0.009,2,2026-04-28,РОСТОВ-НА-ДОНУ,Онлайн,"Дизайн, Координация волонтёров, Фото и видео, Исследования, коммуникации, Педагогика","  пожилые, юридическая помощь, приюты  ",Начинающий
vol_00273,Россия,Новосибирск,"Интересуется направлениями: Люди без жилья, Инклюзия. В задачах полезны навыки, связанные с наставничеством и поддержкой участников. Предпочтительный формат участия — онлайн.",Наставничество,"Люди без жилья, Инклюзия, Животные, Спорт и ЗОЖ",Опытный,"Люди без жилья, Инклюзия, Животные",Онлайн,До 4 часов в неделю,Русский,Новосибирск,Онлайн,Наставничество,Люди без жилья|Инклюзия|Животные|Спорт и ЗОЖ,25,1,0.765,0.835,0.027,0,2026-05-01, Новосибирск ,Онлайн,Наставничество,"люди без жилья, доступная среда, помощь животным, спорт",Опытный
vol_00274,Россия,Санкт-Петербург,"Хочет помогать в проектах, где нужен практический результат для людей или команды. Ближе всего направления: Люди без жилья, Экология; основные навыки — коммуникации, PR.","коммуникации, PR","Люди без жилья, Экология",Опытный,"Люди без жилья, Экология",Оффлайн,До 4 часов в неделю,"Русский, Английский",Санкт-Петербург,Оффлайн,"коммуникации, PR",Люди без жилья|Экология,35,3,0.881,0.919,0.015,1,2026-03-17, Санкт-Петербург ,Оффлайн,"коммуникации, PR","ночлежка, эко",Опытный
vol_00275,Россия,Самара,"Ориентируется на задачи, где можно применить фандрайзингом и партнёрскими коммуникациями, коммуникацией с людьми и командами, документами и административными задачами. Комфортно взаимодействует с координатором и передаёт результат в понятном виде.","Фандрайзинг, Коммуникация, Работа с документами, PR, SMM, таргет","Инклюзия, Сельские территории, Животные, Образование",Начинающий,"Инклюзия, Сельские территории, Животные",Оффлайн,До 4 часов в неделю,"Русский, Английский",Самара,Оффлайн,"Фандрайзинг, Коммуникация, Работа с документами, PR, SMM, таргет",Инклюзия|Сельские территории|Животные|Образование,18,3,0.794,0.727,0.027,2,2026-05-03, Самара ,Оффлайн,"Фандрайзинг, Коммуникация, Работа с документами, PR, SMM, таргет",люди с инвалидностью / сельские территории / помощь животным / просвещение,Начинающий
vol_00276,Россия,Санкт-Петербург,"Интересуется волонтёрскими задачами в городе Санкт-Петербург и онлайн-проектами, если формат это позволяет. Ближе всего темы: Помощь пожилым, Экология.","Координация волонтёров, помощь новичкам","Помощь пожилым, Экология, Дети и молодёжь, Миграция, Люди без жилья",Опытный,"Помощь пожилым, Экология, Дети и молодёжь",Онлайн,5–8 часов в неделю,Русский,Санкт-Петербург,Онлайн,"Координация волонтёров, помощь новичкам",Помощь пожилым|Экология|Дети и молодёжь|Миграция|Люди без жилья,27,6,0.908,0.738,0.039,2,2025-09-18,Санкт-Петербург,Онлайн,"Координация волонтёров, помощь новичкам","пожилые, экология, молодежь, миграция, бездомные",Опытный
vol_00277,Россия,Москва,"Готов(а) помогать НКО в формате «Онлайн». В работе важны понятные ожидания, регулярная связь с координатором и возможность увидеть результат помощи.","Психология, Программирование, tableau","Спорт и ЗОЖ, Инклюзия, Социальная помощь, Помощь пожилым, Люди без жилья",Опытный,"Спорт и ЗОЖ, Инклюзия, Социальная помощь",Онлайн,9–12 часов в неделю,"Русский, Английский",Москва,Онлайн,"Психология, Программирование, tableau",Спорт и ЗОЖ|Инклюзия|Социальная помощь|Помощь пожилым|Люди без жилья,18,10,0.861,0.587,0.041,1,2025-10-27,Москва,Онлайн,"Психология, Программирование, tableau",спорт / инклюзия / социальная помощь / старшее поколение / люди без жилья,ОПЫТНЫЙ
vol_00278,Россия,Воронеж,"Выбирает задачи, где пригодятся медицинскими и профилактическими инициативами, детскими и образовательными активностями. Интересны проекты по направлениям: Миграция, Люди без жилья.","Медицина, Работа с детьми","Миграция, Люди без жилья, Животные",Начинающий,"Миграция, Люди без жилья, Животные",Смешанный,9–12 часов в неделю,Русский,Воронеж,Смешанный,"Медицина, Работа с детьми",Миграция|Люди без жилья|Животные,28,10,0.666,0.703,0.114,1,2025-08-25, ВОРОНЕЖ ,Смешанный,"Медицина, Работа с детьми",  адаптация / ночлежка / приюты  ,Начинающий
vol_00279,Россия,Санкт-Петербург,"Сильнее всего мотивируют задачи с конкретным полезным результатом. Может помогать в направлениях: Образование, Миграция; навыки — Юридические услуги, Организация мероприятий.","Юридические услуги, Организация мероприятий","Образование, Миграция",Начинающий,"Образование, Миграция",Смешанный,До 4 часов в неделю,Русский,Санкт-Петербург,Смешанный,"Юридические услуги, Организация мероприятий",Образование|Миграция,28,1,0.841,0.552,0.057,0,2025-06-21,Санкт-Петербург,Смешанный,"Юридические услуги, Организация мероприятий",обучение; адаптация,Начинающий
vol_00280,Россия,Самара,"Ищет первые проекты, где можно быть полезным команде и выполнить конкретный результат. Больше всего интересны зооволонтёрских и просветительских проектах о помощи животным. Сильные стороны — социальными сетями и контентом, организацией мероприятий, исследованиями и сбором информации.","SMM, Организация мероприятий, Исследования","Животные, Правозащита",Начинающий,"Животные, Правозащита",Оффлайн,9–12 часов в неделю,"Русский, Английский",Самара,Оффлайн,"SMM, Организация мероприятий, Исследования",Животные|Правозащита,27,10,0.74,0.866,0.275,2,2025-06-16, Самара ,Оффлайн,"SMM, Организация мероприятий, Исследования",помощь животным | права человека,Начинающий
vol_00281,Россия,Москва,"Интересуется направлениями: Социальная помощь, Спорт и ЗОЖ. В задачах полезны навыки, связанные с цифровыми инструментами, организацией мероприятий, наставничеством и поддержкой участников. Предпочтительный формат участия — онлайн.","IT, Организация мероприятий, Наставничество, Медицина, Фото и видео","Социальная помощь, Спорт и ЗОЖ, Культура и искусство, Дети и молодёжь",Опытный,"Социальная помощь, Спорт и ЗОЖ, Культура и искусство",Онлайн,До 4 часов в неделю,"Русский, Английский",Москва,Онлайн,"IT, Организация мероприятий, Наставничество, Медицина, Фото и видео",Социальная помощь|Спорт и ЗОЖ|Культура и искусство|Дети и молодёжь,21,2,0.486,0.937,0.014,2,2025-09-03,Москва,Онлайн,"IT, Организация мероприятий, Наставничество, Медицина, Фото и видео",социальная помощь / здоровый образ жизни / культура / дети и молодёжь,Опытный
vol_00282,Россия,Санкт-Петербург,"Хочет помогать в проектах, где нужен практический результат для людей или команды. Ближе всего направления: Животные, Правозащита; основные навыки — Программирование, Переводы, Координация волонтёров.","Программирование, Переводы, Координация волонтёров, Наставничество, Фото и видео, SMM, Копирайтинг","Животные, Правозащита, Помощь пожилым, Инклюзия",Эксперт,"Животные, Правозащита, Помощь пожилым",Смешанный,5–8 часов в неделю,"Русский, Английский",Санкт-Петербург,Смешанный,"Программирование, Переводы, Координация волонтёров, Наставничество, Фото и видео, SMM, Копирайтинг",Животные|Правозащита|Помощь пожилым|Инклюзия,18,6,0.752,0.806,0.05,0,2025-11-18,САНКТ-ПЕТЕРБУРГ,Смешанный,"Программирование, Переводы, Координация волонтёров, Наставничество, Фото и видео, SMM, Копирайтинг",помощь животным; правозащита; старшее поколение; инклюзия,Эксперт
vol_00283,Россия,Челябинск,"Ориентируется на задачи, где можно применить текстами и описаниями, визуальными материалами. Комфортно взаимодействует с координатором и передаёт результат в понятном виде.","Копирайтинг, Дизайн","Сельские территории, Дети и молодёжь, Кризисные ситуации",Начинающий,"Сельские территории, Дети и молодёжь, Кризисные ситуации",Онлайн,13–17 часов в неделю,Русский,Челябинск,Онлайн,"Копирайтинг, Дизайн",Сельские территории|Дети и молодёжь|Кризисные ситуации,22,16,0.85,0.821,0.027,2,2025-12-07,ЧЕЛЯБИНСК,Онлайн,"Копирайтинг, Дизайн",сельские территории; дети и молодёжь; чс,Начинающий
vol_00284,Россия,Казань,"Интересуется волонтёрскими задачами в городе Казань и онлайн-проектами, если формат это позволяет. Ближе всего темы: Сельские территории, Культура и искусство.","IT, Педагогика, Психология, SMM","Сельские территории, Культура и искусство, Помощь пожилым, Дети и молодёжь",Опытный,"Сельские территории, Культура и искусство, Помощь пожилым",Смешанный,9–12 часов в неделю,"Русский, Английский",Казань,Смешанный,"IT, Педагогика, Психология, SMM",Сельские территории|Культура и искусство|Помощь пожилым|Дети и молодёжь,38,11,0.801,0.581,0.211,3,2025-06-09, Казань ,Смешанный,"IT, Педагогика, Психология, SMM","малые города, культура, помощь пожилым, дети",Опытный
vol_00285,Россия,Нижний Новгород,"Готов(а) помогать НКО в формате «Онлайн». В работе важны понятные ожидания, регулярная связь с координатором и возможность увидеть результат помощи.","Работа с детьми, Коммуникация, Переводы, архив, Психология","Правозащита, Сельские территории, Инклюзия",Начинающий,"Правозащита, Сельские территории, Инклюзия",Онлайн,До 4 часов в неделю,"Русский, Английский",Нижний Новгород,Онлайн,"Работа с детьми, Коммуникация, Переводы, архив, Психология",Правозащита|Сельские территории|Инклюзия,26,2,0.852,0.841,0.021,0,2025-06-21, Нижний Новгород ,Онлайн,"Работа с детьми, Коммуникация, Переводы, архив, Психология",права человека | села | инклюзия,Начинающий
vol_00286,Россия,Москва,"Выбирает задачи, где пригодятся коммуникацией с людьми и командами, исследованиями и сбором информации, обучением и образовательными форматами. Интересны проекты по направлениям: Сельские территории, Люди без жилья.","Коммуникация, Исследования, Педагогика, Переводы, таргет","Сельские территории, Люди без жилья",Опытный,"Сельские территории, Люди без жилья",Смешанный,9–12 часов в неделю,"Русский, Английский",Москва,Смешанный,"Коммуникация, Исследования, Педагогика, Переводы, таргет",Сельские территории|Люди без жилья,28,11,0.787,0.826,0.035,1,2025-10-11,Москва,Смешанный,"Коммуникация, Исследования, Педагогика, Переводы, таргет",малые города | люди без жилья,ОПЫТНЫЙ
vol_00287,Россия,Москва,"Сильнее всего мотивируют задачи с конкретным полезным результатом. Может помогать в направлениях: Здравоохранение, Дети и молодёжь; навыки — Аналитика, Исследования, Наставничество, Организация мероприятий.","Аналитика, Исследования, Наставничество, Организация мероприятий, Фандрайзинг","Здравоохранение, Дети и молодёжь, Инклюзия",Начинающий,"Здравоохранение, Дети и молодёжь, Инклюзия",Онлайн,5–8 часов в неделю,"Русский, Английский, Французский",Москва,Онлайн,"Аналитика, Исследования, Наставничество, Организация мероприятий, Фандрайзинг",Здравоохранение|Дети и молодёжь|Инклюзия,39,7,0.599,0.777,0.032,0,2026-01-12, МОСКВА ,Онлайн,"Аналитика, Исследования, Наставничество, Организация мероприятий, Фандрайзинг","здоровье, дети и молодёжь, люди с инвалидностью",НАЧИНАЮЩИЙ
vol_00288,Россия,Новосибирск,"Хочет начать волонтёрскую практику с понятных задач и постепенно набирать опыт. Больше всего интересны проектах помощи в кризисных ситуациях. Сильные стороны — коммуникацией с людьми и командами, техническими задачами и автоматизацией, социальными сетями и контентом.","Коммуникация, Программирование, SMM, Работа с документами, кабинетное исследование, Фото и видео","Кризисные ситуации, Люди без жилья",Начинающий,"Кризисные ситуации, Люди без жилья",Оффлайн,5–8 часов в неделю,"Русский, Английский",Новосибирск,Оффлайн,"Коммуникация, Программирование, SMM, Работа с документами, кабинетное исследование, Фото и видео",Кризисные ситуации|Люди без жилья,18,6,0.546,0.906,0.128,2,2025-12-03, Новосибирск ,Оффлайн,"Коммуникация, Программирование, SMM, Работа с документами, кабинетное исследование, Фото и видео","  чс,  бездомные  ",Начинающий
vol_00289,Россия,Санкт-Петербург,"Интересуется направлениями: Кризисные ситуации, Правозащита. В задачах полезны навыки, связанные с психологической поддержкой и бережной коммуникацией, юридическими и консультационными задачами, визуальными материалами. Предпочтительный формат участия — онлайн.","Психология, Юридические услуги, Дизайн, Медицина","Кризисные ситуации, Правозащита",Опытный,"Кризисные ситуации, Правозащита",Онлайн,5–8 часов в неделю,Русский,Санкт-Петербург,Онлайн,"Психология, Юридические услуги, Дизайн, Медицина",Кризисные ситуации|Правозащита,21,7,0.8,0.931,0.021,1,2026-01-07, САНКТ-ПЕТЕРБУРГ ,Онлайн,"Психология, Юридические услуги, Дизайн, Медицина",чс | юридическая помощь,ОПЫТНЫЙ
